"planet_idx"	"PLANET"	"Star_number"	"MASS"	"DENSITY (EARTH)"	"Radius"	"TERRAIN"	"CLIMATE"
37	"Hamal Apollox"	6203	2.55	1.007	1.36	"grassy hill, plateau, reef"	"arid, artificial temperate"
38	"Arcalís San"	7377	5.84	1.395	na	"scrubland, lava river, urban, rocky canyon, island"	"rocky, temperate, arid"
39	"Alniyat XXI"	2411	1.48	1.062	1.12	"toxic cloudsea, acid pool, mountain"	"frozen, rocky, humid, artificial temperate, hot, temperate"
40	"Alniyat VIII"	2411	9.46	1.04	2.09	"grassy hill, vine, urban, field"	"frigid, tropical, rocky, humid"
41	"Alniyat XVI"	2411	6.62	0.853	1.98	"rocky canyon, hill"	"temperate"
42	"Rigil Kentaurus XIII"	6486	2.35	1.278	1.23	"cliff, savanna"	"artificial temperate, temperate, arid"
43	"Algieba Ba"	2624	5.81	1.283	1.65	"reef, rocky desert, grassy hill, canyons"	"temperate, artic, frozen, rocky, artificial temperate, superheated"
44	"Algieba Er"	2624	8.34	0.828	2.16	"sea, cliff, plateau, bog, hill"	"frigid, subartic, hot, windy, arid, temperate"
45	"Algieba Yi"	2624	8.29	1.307	1.85	"bog"	"hot, humid, artificial temperate, windy, arid"
46	"Zavijava Eta"	5121	2.37	0.85	1.41	"rock arche, grassland, jungle, grassy hill, ash, jungle, hill, plain, sinkholes, ice cave, savanna"	"superheated, humid, rocky, temperate, frozen, tropical, artificial temperate"
47	"Yugen XXIII"	176	6.89	0.541	na	"ice cave, river, valley, savanna, cave, ice canyon, glacier"	"artificial temperate, tropical, temperate, subartic, arid, frozen"
48	"Yugen VI"	176	1.59	0.996	1.17	"urban, rainforest, valley, fungus forest, barren, swamp"	"artic, temperate, arid, humid"
49	"Astrobix Rho"	7426	2.61	0.825	1.47	"ice canyon"	"frigid, humid, superheated"
50	"Astrobix Gamma"	7426	4.08	0.936	1.63	"ice cave, island"	"frigid, frozen, artic"
51	"Lygos Veil XI"	4943	1.7	1.093	1.16	"lakes, hill, canyons, vine, volcano, ocean, savanna, cliff, field"	"tropical, temperate, superheated, humid, hot, artic, frigid"
52	"Solaris Cascade Janusian"	164	1.18	0.677	1.2	"grassy hill, fungus forest, lakes, tundra"	"frigid, artic, arid, hot, humid, temperate"
53	"Ketsueki Whispers XXII"	9504	0.86	0.812	1.02	"ice canyon, sea, field, verdant"	"frozen, rocky, frigid, subartic, artic, humid, windy"
54	"Lunacara Quartal"	519	6.32	1.328	1.68	"forest, toxic cloudsea"	"frozen, hot, superheated, artificial temperate, subartic"
55	"Tamashī Labyrinth Rho"	8690	5.91	0.899	1.87	"sinkholes, verdant"	"superheated"
56	"Lyra Qi"	898	2.33	1.31	1.21	"ice cave, ice canyon"	"hot, artificial temperate, frozen, frigid"
57	"Lyra Er"	898	0.93	0.724	1.09	"reef, lava river, grassland, sea, hill, rocky island, ash, plain, lakes"	"superheated, subartic, windy, temperate, tropical, rocky, hot"
58	"Lyra Wu"	898	0.9	0.898	1	"hill, toxic cloudsea, verdant, cliff, mountain, lakes, cityscape, volcano"	"rocky, temperate, hot, frozen, frigid"
59	"Lyra Jiu"	898	5.98	1.101	1.76	"plateau, valley, rocky canyon"	"frigid, arid"
60	"Hoggar Wu"	6006	7.32	0.971	1.96	"rock arche, ice canyon, plain"	"artic, frozen, subartic, frigid"
61	"Brachium Wu"	6703	6.69	0.811	2.02	"island"	"windy, tropical, artic, superheated, artificial temperate"
62	"Brachium Yi"	6703	1.68	1.108	1.15	"canyons, jungle, lakes, lava river"	"humid, arid, temperate, superheated"
63	"Zenithrax XVI"	9508	9.17	0.945	2.13	"grassy hill, field"	"humid, arid, frigid"
64	"Zenithrax XIX"	9508	4.91	0.927	1.74	"grassy hill, sea, reef, ash, island"	"hot, windy, subartic, frigid"
65	"Sakura XX"	4656	1.13	1.157	0.99	"island, tundra, verdant, rocky canyon"	"artificial temperate, frozen, humid"
66	"Sakura XXI"	4656	2.61	0.796	1.49	"cityscape, grassland, reef, rainforest, tundra"	"tropical, hot, frigid, humid"
67	"Sakura XI"	4656	7.03	0.886	1.99	"savanna, urban, scrubland, cityscape, tundra, verdant"	"hot, rocky, arid, subartic"
68	"Cosmic Cascade Pantheon"	628	1.07	1.337	0.93	"ash, sinkholes, ocean, cave, acid pool, desert, rock arche, jungle"	"frigid, tropical, windy, frozen, humid, superheated, arid"
69	"Cosmic Cascade Janusian"	628	0.67	1.526	0.76	"cave, plain"	"windy, arid"
70	"Alpherg XVIII"	5953	2.64	0.537	1.7	"rocky desert, tundra, swamp, acid pool, ice cave, lava river, plain"	"humid, artificial temperate, windy, superheated, artic, hot"
71	"Alpherg XXIII"	5953	2.38	0.807	1.43	"bog, grassland, hill, island, valley, jungle, ice cave"	"arid, rocky, tropical, artic, humid"
72	"Alpherg XIX"	5953	3.32	0.531	1.84	"fungus forest"	"frozen, rocky, hot"
73	"Alpherg XVII"	5953	0.7	1.115	0.86	"savanna, rocky desert"	"artificial temperate, temperate, humid, rocky"
74	"Ain Asclepian"	925	3.74	1.012	1.55	"plateau, rocky desert, tundra, acid pool, cityscape, volcano, rocky canyon, ash"	"hot, frigid, rocky, arid, humid"
75	"Baekdu Nu"	1814	2.21	0.81	1.4	"urban, volcano, tundra, grassland, sinkholes"	"humid, windy, hot, temperate, rocky"
76	"Lusitânia Olympios"	8531	1.79	0.841	1.29	"rocky island"	"tropical, rocky, humid, windy, arid"
77	"Nunki Shi"	5150	7.07	1.056	1.88	"mountain, reef, ice canyon, desert, savanna, acid pool, canyons, cliff, fungus forest"	"artificial temperate, windy, artic, temperate, frigid, humid, rocky"
78	"Nunki Ba"	5150	7.67	0.948	2.01	"hill, ice cave"	"artic"
79	"Lich Septimal"	1022	2.32	1.101	1.28	"field, island, rocky canyon, forest, lava river, toxic cloudsea"	"humid, arid, frozen, tropical, artificial temperate, frigid"
80	"Lich Quintal"	1022	3.24	1.115	1.43	"lakes, plain, verdant"	"frozen, windy, subartic"
81	"Lich Secant"	1022	4.91	0.932	1.74	"ash, vine"	"tropical, temperate, superheated"
82	"Lich Quartal"	1022	7.68	0.856	2.08	"forest, cityscape, reef"	"rocky, arid, artificial temperate"
83	"Wolfheart XIX"	5413	4.09	1.188	1.51	"city"	"windy, humid, artificial temperate, rocky, subartic, hot, frozen"
84	"Wolfheart VI"	5413	2.07	0.62	1.49	"acid pool, tundra, verdant, bog, mountain"	"superheated, temperate, rocky"
85	"Mjornir Sigma"	3433	7.45	1.117	1.88	"sea"	"windy"
86	"Mjornir Gamma"	3433	1.66	0.63	1.38	"plain, rocky canyon"	"artic, arid"
87	"Mjornir Kappa"	3433	6.25	0.868	1.93	"river, canyons, lakes, mountain, rocky island, rainforest"	"rocky, hot, artic, superheated"
88	"Phact Quintal"	7019	9.02	1.465	1.83	""	"windy"
89	"Phact Duodecimal"	7019	9.22	1.01	2.09	"plain"	"temperate, subartic, artificial temperate, rocky, superheated"
90	"Menkalinan San"	5007	8.09	0.65	2.32	"forest"	"frozen, temperate, artic"
91	"Menkalinan Yi"	5007	5.39	1.004	1.75	"ice canyon, plateau"	"artic"
92	"Menkalinan Si"	5007	7.63	1.139	1.89	"river, rainforest, ice cave, island, plateau"	"frigid, superheated, artic, frozen"
93	"Felis Chi"	9279	na	0.862	2.03	"rocky island"	"artic, tropical, temperate, hot, humid"
94	"Cryptic Shadows Sigma"	8433	0.95	1.008	0.98	"sea"	"windy, arid, artic, hot, humid"
95	"Cryptic Shadows Kappa"	8433	4.56	1.033	1.64	"plateau, canyons, glacier, urban, island"	"superheated, tropical, subartic"
96	"Frostfang San"	9392	1.22	0.479	1.37	"cave"	"frigid, superheated, tropical"
97	"Frostfang Jiu"	9392	0.97	1.022	0.98	"urban, tundra, cliff"	"artificial temperate, superheated, rocky, tropical"
98	"Frostfang Ba"	9392	2.12	1.027	1.27	"verdant, grassland"	"tropical, frozen, rocky, windy, frigid, temperate, humid"
99	"Chalawan Morphean"	9020	1.39	0.915	1.15	"rainforest, verdant, ice cave, urban, cityscape, field"	"subartic, temperate, frozen, humid, windy"
100	"Sadr Nu"	4607	1.53	1.152	1.1	"volcano, rainforest, cave, scrubland, lakes, ocean"	"windy, subartic, arid, rocky, frozen, temperate, tropical"
101	"Umbral Silence Olympus"	581	1.34	1.107	1.07	"tundra, sea, rainforest, cityscape"	"windy, superheated, arid, frigid, artic"
102	"Umbral Silence Persephonian"	581	9.27	0.81	2.25	"ocean, lakes"	"temperate"
103	"Umbral Silence Orphean"	581	2.24	0.771	1.43	"ocean, rocky desert, acid pool, urban"	"frozen, frigid, rocky, subartic, humid"
104	"Umbral Silence Olympios"	581	1.36	1.493	0.97	"plain, tundra, grassy hill"	"artificial temperate, hot, rocky, temperate"
105	"Ninja's Horizon Atlasios"	2216	1.69	0.596	1.42	"rock arche, fungus forest"	"humid, subartic, arid, windy, rocky, superheated, hot"
106	"Ninja's Horizon Hadean"	2216	2.54	0.64	1.58	"plateau, bog, grassy hill, tundra"	"frozen, frigid, tropical, temperate, windy, humid"
107	"Ninja's Horizon Gaios"	2216	2.02	0.275	1.94	"jungle, ice canyon, canyons, rocky canyon, bog"	"windy, frozen, rocky, temperate, artificial temperate, tropical"
108	"Scheat XXI"	4539	8.7	1.247	1.91	"lava river, desert, ice canyon, rocky desert, acid pool"	"frozen, superheated, hot, subartic, windy"
109	"Palladium Shroud Psychean"	911	4.96	0.867	1.79	"plain, verdant"	"artic"
110	"Palladium Shroud Harpian"	911	1.89	1.314	1.13	"reef, lakes"	"frigid, subartic"
111	"Palladium Shroud Gaios"	911	2.43	0.734	1.49	"reef, rocky canyon, swamp, cityscape, hill"	"artic, rocky, frigid, tropical, superheated"
112	"Palladium Shroud Olympus"	911	3	1.068	1.41	"cityscape, glacier"	"superheated, tropical, artic, temperate, artificial temperate"
113	"Photonara Vigesimal"	9798	1.9	0.832	1.32	"tundra, acid pool, reef, mountain, cityscape, plateau, vine, ash"	"arid, superheated, temperate, frigid, humid"
114	"Photonara Decimal"	9798	0.78	0.913	0.95	"jungle, verdant, grassy hill, rocky canyon, rocky island"	"rocky, tropical, hot, frigid"
115	"Photonara Tertial"	9798	4.78	1.17	1.6	"sea, mountain, glacier"	"frozen, frigid, subartic"
116	"Photonara Nonal"	9798	7.37	0.959	1.97	"sea"	"tropical, frigid"
117	"Formosa San"	5936	6.43	0.599	2.21	"rocky desert"	"rocky, frozen, frigid, arid, artic"
118	"Formosa Si"	5936	1.53	1.171	1.09	"volcano, glacier, ash, mountain"	"hot, windy, tropical, humid, frigid, artic"
119	"Gakyid Nyxios"	7548	1.18	0.985	na	"canyons, ice cave"	"frozen, subartic, arid, rocky"
120	"Gakyid Dionian"	7548	0.84	1.276	0.87	"island, plateau, rocky island, cityscape"	"humid, tropical, frigid, subartic, frozen, rocky"
121	"Infinite Whispers Alpha"	4094	1.13	0.942	1.06	"rock arche, cave"	"temperate, artic, superheated, hot"
122	"Infinite Whispers Eta"	4094	1.31	1.073	1.07	"cave"	"temperate, windy, tropical"
123	"Selene's Whimsy II"	9272	0.74	0.543	1.11	"rocky desert, island, rainforest, vine, valley, rocky canyon"	"windy, rocky, tropical, artificial temperate, artic, subartic, hot"
124	"Selene's Whimsy XVI"	2974	5.22	0.85	1.83	"rock arche, sinkholes"	"hot, frozen, windy, artic, rocky, superheated"
125	"Rana Duodecimal"	3833	3.51	1.021	1.51	"rocky desert, rock arche, rainforest"	"hot, tropical, artic, subartic"
126	"Rana Septimal"	3833	3.28	0.935	1.52	"glacier"	"frozen, humid, temperate"
127	"Rana Secant"	3833	1.83	0.88	1.28	"plain"	"arid"
128	"Meridiana Rho"	3115	9.62	0.88	2.22	"swamp"	"windy, tropical, subartic, temperate, arid"
129	"Meridiana Tau"	3115	4.4	1.383	1.47	"cliff, mountain, river, toxic cloudsea, island, sea"	"frigid, subartic, windy, frozen, arid, artic"
130	"Meridiana Alpha"	3115	7.53	1.434	1.74	"jungle, verdant, hill"	"humid, superheated, windy, rocky, temperate, frozen, hot"
131	"Taika Xi"	3876	5.2	1.026	1.72	"plain"	"artificial temperate, arid, windy, frozen, tropical, temperate"
132	"Nebulous Silence Er"	6152	0.69	1.397	0.79	"mountain, jungle"	"hot, windy, humid"
133	"Nebulous Silence San"	6152	5.62	0.902	1.84	"verdant, cliff, lakes"	"windy, tropical, frozen, humid, hot, subartic"
134	"Nebulous Silence Jiu"	6152	5.28	0.601	2.06	"lakes, ice cave, jungle"	"rocky, temperate, artic, frigid, superheated, humid"
135	"Nebulous Silence Ba"	6152	1.14	0.999	1.04	"island, sea"	"subartic, temperate, frigid, frozen, artic"
136	"Spectronix Nereidos"	3817	1.42	1.114	1.08	"urban"	"rocky, subartic"
137	"Pulsariax Omega"	4127	2.01	0.996	1.26	"cityscape, fungus forest, volcano, lava river"	"frozen, rocky, artic, superheated, hot"
138	"Cryptic Nebula Nu"	3072	0.69	1.056	0.87	"verdant, jungle, vine, rocky canyon, lava river, ocean, canyons"	"subartic, frigid, artificial temperate, hot, temperate"
139	"Cryptic Nebula Xi"	3072	0.89	0.744	1.06	"cityscape, rock arche, volcano, jungle"	"superheated, subartic, frozen, tropical, windy"
140	"Cryptic Nebula Tau"	3072	1.14	1.134	1	"rocky desert, field, barren, vine"	"subartic, arid, hot"
141	"Kasai Ember Cerberian"	9118	0.35	0.902	0.73	"fungus forest, tundra, bog, island, lava river, verdant"	"humid, rocky, artificial temperate, superheated, windy"
142	"Asahi Ba"	1021	9.21	1.161	1.99	"ice cave, ice canyon, tundra, river, field"	"subartic, artificial temperate, frigid, artic, hot, humid"
143	"Tonatiuh X"	3800	5.14	1.392	1.55	"river, ice canyon, cityscape, swamp"	"tropical, artificial temperate, subartic"
144	"Solaraether Octal"	5319	1.93	1.186	1.18	""	"windy"
145	"Hunor Eta"	6673	0.53	1.201	0.76	"river, cave"	"humid, windy, subartic, artic, artificial temperate"
146	"Alkes X"	9892	0.93	1.236	0.91	"hill, cave, grassy hill"	"frozen, rocky, frigid, humid"
147	"Alkes XVI"	9892	7.88	0.744	2.2	"cliff, reef, mountain, desert, plateau, tundra"	"windy, humid, frigid, hot, tropical"
148	"Alkes VII"	9892	3.72	1.04	1.53	"rocky canyon, swamp"	"humid, frozen, tropical, artificial temperate, rocky"
149	"Zephyrianix Nu"	996	1.37	0.578	1.33	"glacier, reef, ice canyon, hill, sinkholes, rocky desert"	"subartic, hot, artic, humid, arid, temperate, rocky"
150	"Zephyrianix Iota"	996	6.93	1.312	na	"plateau, jungle, hill, fungus forest, mountain, rocky canyon"	"frigid, tropical, windy, subartic, humid"
151	"Zephyrianix Mu"	996	5.05	0.933	1.76	"glacier, hill, canyons, city, rocky island, ice cave, grassy hill, cave, river, rock arche, ash"	"artic, humid, tropical, artificial temperate, temperate, frigid, hot"
152	"Zephyrianix Delta"	996	6.58	0.868	1.96	"ice canyon, acid pool, savanna"	"arid, superheated, frozen, frigid"
153	"Rigel Octal"	7078	2.46	1.501	na	"sea, jungle"	"frigid, humid, artic, windy, subartic"
154	"Rigel Undecimal"	7078	5.25	1.357	1.57	"ocean, forest, scrubland, sinkholes, jungle, ash"	"arid, subartic, artic, superheated, tropical, artificial temperate"
155	"Sakura's Labyrinth Dionian"	5453	6.64	1.259	1.74	"mountain, valley, hill, reef, toxic cloudsea"	"artic, frigid, subartic"
156	"Sakura's Labyrinth Orphean"	5453	3.49	0.908	1.57	"rocky island, mountain, plain, river"	"subartic, artificial temperate, frozen, frigid"
157	"Pharaoh's Veil Lambda"	9936	7.69	0.733	2.19	"ice canyon, glacier, reef, swamp, hill, river"	"humid, superheated, artificial temperate, subartic"
158	"Pharaoh's Veil Epsilon"	9936	7.6	0.992	1.97	"sinkholes, tundra, fungus forest, sea, urban, bog, volcano"	"subartic, artificial temperate, tropical, superheated, hot"
159	"Pharaoh's Veil Pi"	9936	5.04	1.015	1.71	"plateau, verdant, cityscape, sea, rocky island, rocky canyon, fungus forest, valley"	"tropical, artificial temperate, windy, subartic, frigid, rocky"
160	"Pharaoh's Veil Chi"	9936	1.38	1.079	1.09	"rocky canyon, sinkholes, cityscape, ice cave"	"subartic, windy, artic, hot, tropical, superheated"
161	"Penumbralix Shi"	4176	1.87	0.457	1.6	"rocky desert"	"humid"
162	"Penumbralix Jiu"	4176	4.68	0.522	2.08	"river, city, acid pool"	"temperate, rocky, artificial temperate, tropical"
163	"Ephemeral Abyss I"	4968	8.05	0.957	2.03	"rocky desert, grassy hill, reef, ice cave, hill"	"artificial temperate, frozen, hot"
164	"Ephemeral Abyss IV"	4968	2.07	1.323	1.16	"scrubland, cave, hill"	"superheated, temperate, arid, windy, tropical"
165	"Celestial Mirage Dionysios"	922	0.77	1.256	0.85	"cityscape, lakes"	"windy, subartic"
166	"Ronin's Enigma Omega"	5597	2.46	1.319	1.23	"sea, cityscape, bog"	"temperate, arid"
167	"Orionara Theta"	4753	7.93	0.86	2.1	"hill"	"tropical, artic, temperate, humid"
168	"Mystic Expanse Ba"	7194	1.25	0.765	1.18	"rock arche, jungle, savanna, grassland, forest, acid pool"	"superheated, artic, tropical, temperate"
169	"Mystic Expanse San"	7194	8.92	0.948	2.11	"urban, sea, glacier, cityscape, mountain, plain, tundra"	"superheated, rocky, windy, temperate, subartic, frigid"
170	"Elysionix Morphean"	4359	6.65	1.398	1.68	"rocky desert, jungle, grassland"	"frozen, humid, temperate, superheated"
171	"Elysionix Astraeos"	4359	1.05	0.727	1.13	"reef, hill"	"tropical, windy, frigid"
172	"Elysionix Dionysios"	4359	1.48	1.036	1.13	"ice canyon, vine, cityscape"	"arid, artic"
173	"Moldoveanu Vigesimal"	2198	3.14	1.463	1.29	"cliff"	"frozen, hot"
174	"Moldoveanu Duodecimal"	2198	1.81	1.133	1.17	"rocky canyon, cliff, grassy hill"	"tropical, artic, arid, humid"
175	"Alsafi Aphroditos"	2893	2.46	1.245	1.25	"glacier, ice cave"	"artic, arid"
176	"Lunariara San"	7789	1.61	1.069	1.15	"fungus forest"	"subartic, hot, artic, tropical"
177	"Meleph VI"	2262	7.35	1.018	1.93	"field, sea, scrubland"	"tropical, frigid, subartic, rocky, arid, temperate"
178	"Sakura's Silence Ba"	4114	0.91	0.913	1	"forest, valley, verdant, city, acid pool"	"frigid, temperate, arid, rocky"
179	"Sakura's Silence Wu"	4114	7.34	1.098	1.88	"rocky desert"	"hot, arid"
180	"Sakura's Silence Shi"	4114	5.6	1.049	1.75	"city, plateau, plain"	"humid, arid"
181	"Prima Hyadum Undecimal"	2863	5.18	1.077	1.69	"city, ice cave"	"humid, artic, frigid, temperate, arid"
182	"Nebulith Aphroditos"	6319	3.06	1.22	1.36	"glacier, jungle, rainforest, river, grassland, ash, savanna"	"hot, frozen, subartic, artic, humid"
183	"Alya Jiu"	4173	2.15	0.766	1.41	"cityscape, field"	"tropical, windy"
184	"Mahsati Duodecimal"	317	1.21	1.168	1.01	"field, river"	"rocky, temperate, subartic"
185	"Mahsati Sextant"	317	1.84	1.411	1.09	"lakes, valley, ice canyon, city"	"frozen, humid, artic, artificial temperate"
186	"Mahsati Undecimal"	317	1.19	0.766	1.16	"lava river"	"hot, subartic, tropical, artic, artificial temperate, superheated"
187	"Elkurud Undecimal"	4295	2.61	0.833	1.46	"urban, ocean, reef"	"windy, artic, tropical, frozen"
188	"Cosmosol XVI"	2937	6.73	0.729	2.1	"rainforest, grassy hill"	"temperate, subartic, humid"
189	"Cosmosol XI"	2937	5.87	1.146	1.72	"field, glacier, city, toxic cloudsea"	"artic, frozen, temperate"
190	"Cosmosol XV"	2937	4.61	1.087	1.62	"forest, rock arche, cityscape"	"artificial temperate, windy, hot, artic"
191	"Cosmosol XII"	2937	1.68	1.139	1.14	"volcano"	"superheated, frozen"
192	"Pharaoh's Reverie Alpha"	8252	3.7	1.197	1.46	"rocky canyon, hill, plain, urban"	"humid, frigid, temperate"
193	"Thoth's Radiance Yi"	4827	0.7	0.679	1.01	"canyons"	"superheated"
194	"Thoth's Radiance Ba"	4827	1.68	0.699	1.34	"rocky island, jungle, ocean, canyons, river"	"artificial temperate, windy, subartic, tropical, artic"
195	"Nocturne Echo Nymphios"	2178	1.8	0.661	1.4	"forest, reef, mountain"	"artificial temperate, frigid, subartic, rocky"
196	"Nocturne Echo Centaurios"	2178	1.74	0.8	na	"grassy hill, grassland, sea, bog, cave"	"tropical, temperate, frigid, hot, rocky, windy, arid"
197	"Nocturne Echo Pegasusian"	2178	6.21	0.879	1.92	"jungle, reef, rock arche, sinkholes, rocky desert, desert"	"frozen, artificial temperate, hot, rocky, subartic, humid"
198	"Astraflame I"	420	2.02	0.724	1.41	"rock arche, ice cave, savanna, tundra"	"artic, tropical, windy, subartic"
199	"Sylvarix Poseidian"	9682	3.97	1.108	1.53	"grassy hill, island, vine, rocky island, canyons, desert"	"frozen, temperate, tropical, windy, arid"
200	"Morava Zeta"	8887	0.75	0.793	0.98	"cliff, lakes, rocky island, rock arche"	"windy, subartic, humid, tropical, rocky, hot, frigid"
201	"Galaxy Prism Xi"	7760	2.12	1.368	1.16	"sea, rock arche, desert, savanna, city, urban"	"superheated, frigid, hot, subartic"
202	"Starshara Sirenios"	6612	0.83	1.054	0.92	"rocky desert, sinkholes, rocky island, lava river, ash"	"frozen, windy, artificial temperate, hot"
203	"Starshara Faunios"	6612	1.23	1.087	1.04	"savanna, cave, cliff"	"tropical, humid"
204	"Zenithariana XV"	1552	5.65	0.981	1.79	"grassland"	"humid, artic, frigid, artificial temperate, frozen"
205	"Zenithariana XVI"	1552	7.24	1.102	1.87	"ice canyon, hill, ocean"	"frigid, humid, subartic, superheated"
206	"Zenithariana XIX"	1552	1.68	1.026	na	"fungus forest, rocky island, forest, verdant"	"tropical, temperate, artificial temperate"
207	"Zenithariana II"	1552	1.64	0.817	1.26	"rock arche"	"rocky"
208	"Eonix I"	6001	1.73	0.735	1.33	"canyons, ice cave, cave"	"subartic, rocky"
209	"Eonix XXIII"	6001	1.83	0.832	1.3	"tundra, island, ash, savanna, rock arche, cityscape, urban"	"windy, superheated, tropical, hot, rocky, subartic"
210	"Hassaleh XXIII"	4277	0.66	1.034	0.86	"ash"	"rocky, artic, arid, frigid, subartic, hot"
211	"Hassaleh IV"	4277	6.49	0.973	1.88	"field"	"artic, frigid, humid, superheated, hot, windy, tropical"
212	"Hassaleh XXIV"	4277	6.94	1.055	1.87	"glacier, mountain, ice cave, sea, rainforest"	"humid, frigid, artificial temperate, arid, tropical, artic"
213	"Hassaleh XV"	4277	7.54	1.201	1.84	"cave, toxic cloudsea"	"windy, artic, subartic"
214	"Tesserion Selenean"	7422	3.74	0.86	1.63	"hill, ice canyon"	"frozen"
215	"Hikari Nebula IV"	6464	3.91	0.918	1.62	"ocean, cliff"	"frigid, tropical, superheated"
216	"Sadalmelik Wu"	8496	na	1.409	0.96	"fungus forest, forest, jungle, glacier"	"hot, artificial temperate, frigid, rocky"
217	"Sadalmelik Yi"	8496	4.36	1.397	1.46	"lakes"	"rocky, arid, hot, tropical, frigid, frozen"
218	"Sadalmelik San"	8496	4.23	1.174	1.53	"ice canyon, cliff, lava river, forest"	"arid, tropical, artic, windy"
219	"Nikawiy IX"	1067	7.35	0.735	2.15	"savanna, swamp, hill, verdant, grassy hill"	"tropical, temperate, windy, frigid"
